Days,Advertiser verticals,Device categories,Creative size,Buyer networks,Revenue,Ad impressions,Ad eCPM (£)
6/1/20,Computers & Consumer Electronics,Desktop,Native,Agency B,£11.67 ,10199,£1.14 
6/1/20,Home & Garden,Desktop,300x250,Agency B,£2.49 ,10181,£0.24 
6/1/20,Family & Community,Desktop,300x250,Agency B,£2.45 ,10069,£0.24 
6/1/20,Finance,Desktop,300x250,Agency C,£6.06 ,10051,£0.60 
6/1/20,Law & Government,Desktop,300x250,Agency B,£2.33 ,9784,£0.24 
6/1/20,Apparel,High-end mobile devices,300x600,Agency B,£7.11 ,9756,£0.73 
6/1/20,Computers & Consumer Electronics,Desktop,300x250,Agency B,£3.71 ,9546,£0.39 
6/1/20,Business & Industrial,High-end mobile devices,300x250,Agency B,£5.78 ,9528,£0.61 
6/1/20,Autos & Vehicles,High-end mobile devices,300x250,Agency B,£11.97 ,9374,£1.28 
6/1/20,Autos & Vehicles,Desktop,728x90,Agency B,£1.85 ,9328,£0.20 
6/1/20,Finance,High-end mobile devices,300x600,Agency B,£9.63 ,9287,£1.04 
6/1/20,Finance,Desktop,728x90,Agency C,£4.71 ,8849,£0.53 
6/1/20,Internet & Telecom,High-end mobile devices,320x50,Agency B,£6.72 ,8652,£0.78 
6/1/20,Computers & Consumer Electronics,Desktop,970x250,Agency B,£3.59 ,8545,£0.42 
6/1/20,Apparel,High-end mobile devices,Interstitial,Agency B,£34.93 ,8490,£4.11 
6/1/20,Law & Government,High-end mobile devices,Interstitial,Agency B,£32.64 ,8381,£3.89 
6/1/20,Apparel,Desktop,Native,Agency B,£9.46 ,8310,£1.14 
6/1/20,Autos & Vehicles,Desktop,970x250,Agency B,£6.11 ,7829,£0.78 
6/1/20,Family & Community,Desktop,728x90,Agency B,£1.34 ,7740,£0.17 
6/1/20,Beauty & Personal Care,Desktop,300x250,Agency B,£1.81 ,7467,£0.24 
6/1/20,"Hobbies, Games & Leisure",Desktop,Native,Agency B,£6.44 ,7443,£0.87 
6/1/20,Business & Industrial,High-end mobile devices,300x600,Agency B,£7.73 ,7212,£1.07 
6/1/20,"Hobbies, Games & Leisure",Desktop,300x600,Agency B,£2.59 ,7162,£0.36 
6/1/20,Beauty & Personal Care,Desktop,728x90,Agency B,£1.28 ,6617,£0.19 
6/1/20,Jobs & Education,Desktop,300x250,Agency B,£1.45 ,6578,£0.22 
6/1/20,Law & Government,Desktop,728x90,Agency B,£1.05 ,6554,£0.16 
6/1/20,Computers & Consumer Electronics,Desktop,728x90,Agency C,£4.09 ,6488,£0.63 
6/1/20,Arts & Entertainment,High-end mobile devices,320x50,Agency C,£5.26 ,6305,£0.83 
6/1/20,"News, Books & Publications",High-end mobile devices,Interstitial,Agency B,£23.93 ,6280,£3.81 
6/1/20,Business & Industrial,High-end mobile devices,320x50,Agency B,£3.31 ,6190,£0.53 
6/1/20,Autos & Vehicles,High-end mobile devices,320x50,Agency B,£2.74 ,6136,£0.45 
6/1/20,Apparel,Tablets,300x250,Agency B,£1.40 ,5948,£0.24 
6/1/20,Arts & Entertainment,Desktop,728x90,Agency B,£1.76 ,5889,£0.30 
6/1/20,Computers & Consumer Electronics,Desktop,300x250,Agency C,£3.37 ,5751,£0.59 
6/1/20,Home & Garden,Desktop,970x250,Agency B,£1.86 ,5522,£0.34 
6/1/20,Home & Garden,Desktop,Native,Agency B,£4.86 ,5514,£0.88 
6/1/20,Occasions & Gifts,Desktop,Native,Agency B,£4.89 ,5496,£0.89 
6/1/20,Business & Industrial,Desktop,300x600,Agency B,£3.82 ,5444,£0.70 
6/1/20,Finance,Desktop,300x600,Agency B,£7.12 ,5375,£1.32 
6/1/20,Business & Industrial,High-end mobile devices,Native,Agency B,£4.73 ,5334,£0.89 
6/1/20,Autos & Vehicles,High-end mobile devices,300x600,Agency B,£6.42 ,5262,£1.22 
6/1/20,Family & Community,High-end mobile devices,300x600,Agency B,£4.43 ,5031,£0.88 
6/1/20,Family & Community,Desktop,970x250,Agency B,£1.44 ,4953,£0.29 
6/1/20,Family & Community,High-end mobile devices,300x250,Agency B,£2.89 ,4786,£0.60 
6/1/20,Occasions & Gifts,Desktop,300x250,Agency B,£1.19 ,4729,£0.25 
6/1/20,Food & Groceries,Desktop,728x90,Agency B,£1.20 ,4724,£0.25 
6/1/20,Arts & Entertainment,Desktop,300x250,Agency B,£0.81 ,4720,£0.17 
6/1/20,Apparel,Tablets,970x250,Agency B,£1.04 ,4651,£0.22 
6/1/20,Health,Desktop,Native,Agency B,£3.06 ,4637,£0.66 
6/1/20,Internet & Telecom,High-end mobile devices,Native,Agency B,£4.60 ,4566,£1.01 
6/1/20,Health,Tablets,300x250,Agency B,£1.97 ,4558,£0.43 
6/1/20,Sports & Fitness,High-end mobile devices,Native,Agency B,£3.12 ,4503,£0.69 
6/1/20,Family & Community,Tablets,970x250,Agency B,£0.76 ,4456,£0.17 
6/1/20,Internet & Telecom,High-end mobile devices,300x250,Agency B,£3.93 ,4413,£0.89 
6/1/20,Sports & Fitness,Desktop,Native,Agency B,£3.89 ,4413,£0.88 
6/1/20,Arts & Entertainment,Desktop,Native,Agency B,£3.73 ,4396,£0.85 
6/1/20,Family & Community,High-end mobile devices,Interstitial,Agency B,£15.61 ,4309,£3.62 
6/1/20,Family & Community,Desktop,Native,Agency B,£2.77 ,4304,£0.64 
6/1/20,Internet & Telecom,Desktop,970x250,Agency B,£1.87 ,4285,£0.44 
6/1/20,Arts & Entertainment,Desktop,728x90,Agency C,£1.48 ,4140,£0.36 
6/1/20,Beauty & Personal Care,Desktop,Native,Agency B,£3.38 ,4122,£0.82 
6/1/20,Apparel,High-end mobile devices,Native,Agency B,£3.78 ,4026,£0.94 
6/1/20,Food & Groceries,Desktop,300x250,Agency B,£1.18 ,3998,£0.30 
6/1/20,Home & Garden,High-end mobile devices,320x50,Agency B,£1.80 ,3870,£0.46 
6/1/20,Health,Tablets,728x90,Agency B,£0.83 ,3797,£0.22 
6/1/20,Health,Desktop,970x250,Agency B,£2.56 ,3783,£0.68 
6/1/20,Family & Community,Desktop,300x600,Agency B,£0.94 ,3692,£0.26 
6/1/20,Health,High-end mobile devices,300x250,Agency B,£5.36 ,3690,£1.45 
6/1/20,Business & Industrial,Desktop,728x90,Agency C,£1.09 ,3656,£0.30 
6/1/20,Travel & Tourism,Desktop,728x90,Agency B,£0.94 ,3561,£0.26 
6/1/20,Computers & Consumer Electronics,Desktop,300x600,Agency B,£2.60 ,3538,£0.74 
6/1/20,Home & Garden,High-end mobile devices,Native,Agency B,£3.25 ,3461,£0.94 
6/1/20,Family & Community,High-end mobile devices,Native,Agency B,£2.49 ,3443,£0.72 
6/1/20,Home & Garden,High-end mobile devices,Interstitial,Agency B,£14.26 ,3405,£4.19 
6/1/20,Autos & Vehicles,Tablets,300x250,Agency B,£1.86 ,3401,£0.55 
6/1/20,Mobile Apps,Desktop,Native,Agency B,£2.44 ,3345,£0.73 
6/1/20,Business & Industrial,Tablets,728x90,Agency B,£0.64 ,3183,£0.20 
6/1/20,Autos & Vehicles,Tablets,970x250,Agency B,£1.33 ,3160,£0.42 
6/1/20,Internet & Telecom,Tablets,728x90,Agency B,£0.97 ,3150,£0.31 
6/1/20,Arts & Entertainment,Desktop,300x250,Agency C,£2.24 ,3129,£0.72 
6/1/20,Jobs & Education,Desktop,Native,Agency B,£2.95 ,3128,£0.94 
6/1/20,Autos & Vehicles,Desktop,300x600,Agency B,£2.53 ,3124,£0.81 
6/1/20,Health,High-end mobile devices,320x50,Agency B,£1.47 ,3100,£0.47 
6/1/20,Real Estate,Desktop,728x90,Agency B,£0.65 ,3084,£0.21 
6/1/20,Finance,High-end mobile devices,320x50,Agency B,£2.05 ,3081,£0.66 
6/1/20,Finance,Desktop,Native,Agency B,£3.57 ,3038,£1.18 
6/1/20,Real Estate,Desktop,Native,Agency B,£2.93 ,3022,£0.97 
6/1/20,Internet & Telecom,Desktop,300x600,Agency B,£1.99 ,2995,£0.66 
6/1/20,Home & Garden,Tablets,728x90,Agency B,£0.72 ,2992,£0.24 
6/1/20,Business & Industrial,Tablets,300x250,Agency B,£0.96 ,2944,£0.33 
6/1/20,Apparel,Tablets,300x600,Agency B,£1.21 ,2923,£0.41 
6/1/20,"Hobbies, Games & Leisure",High-end mobile devices,320x50,Agency B,£1.01 ,2822,£0.36 
6/1/20,Health,Desktop,300x600,Agency B,£1.22 ,2817,£0.43 
6/1/20,Apparel,High-end mobile devices,320x50,Agency B,£1.20 ,2750,£0.44 
6/1/20,Home & Garden,Desktop,300x600,Agency B,£2.26 ,2677,£0.84 
6/1/20,Computers & Consumer Electronics,High-end mobile devices,Interstitial,Agency B,£11.77 ,2667,£4.41 
6/1/20,Law & Government,High-end mobile devices,300x250,Agency B,£2.07 ,2633,£0.78 
6/1/20,Health,High-end mobile devices,Native,Agency B,£1.79 ,2629,£0.68 
6/1/20,"News, Books & Publications",High-end mobile devices,300x250,Agency B,£1.63 ,2558,£0.64 
6/1/20,"News, Books & Publications",Desktop,300x250,Agency B,£0.58 ,2542,£0.23 
6/1/20,Beauty & Personal Care,High-end mobile devices,Native,Agency B,£1.89 ,2531,£0.75 
6/1/20,Finance,High-end mobile devices,Native,Agency B,£2.96 ,2526,£1.17 
6/1/20,Finance,Tablets,300x250,Agency B,£1.09 ,2487,£0.44 
6/1/20,Business & Industrial,Tablets,Native,Agency B,£1.69 ,2485,£0.68 
6/1/20,Computers & Consumer Electronics,Desktop,300x600,Agency C,£2.07 ,2456,£0.84 
6/1/20,Family & Community,High-end mobile devices,320x50,Agency B,£0.97 ,2419,£0.40 
6/1/20,Computers & Consumer Electronics,High-end mobile devices,300x250,Agency B,£1.70 ,2414,£0.70 
6/1/20,Law & Government,High-end mobile devices,300x600,Agency B,£2.03 ,2390,£0.85 
6/1/20,Home & Garden,High-end mobile devices,300x250,Agency B,£2.09 ,2304,£0.91 
6/1/20,Internet & Telecom,Tablets,300x250,Agency B,£1.00 ,2289,£0.44 
6/1/20,Jobs & Education,Desktop,970x250,Agency B,£0.70 ,2280,£0.31 
6/1/20,Autos & Vehicles,High-end mobile devices,Interstitial,Agency B,£8.26 ,2277,£3.63 
6/1/20,Internet & Telecom,High-end mobile devices,320x50,Agency C,£2.48 ,2246,£1.10 
6/1/20,"News, Books & Publications",Desktop,728x90,Agency B,£0.52 ,2239,£0.23 
6/1/20,Autos & Vehicles,Tablets,728x90,Agency B,£0.52 ,2227,£0.24 
6/1/20,Dining & Nightlife,Desktop,728x90,Agency B,£0.15 ,2201,£0.07 
6/1/20,"Hobbies, Games & Leisure",High-end mobile devices,Native,Agency B,£1.75 ,2193,£0.80 
6/1/20,Arts & Entertainment,High-end mobile devices,Native,Agency B,£1.96 ,2184,£0.90 
6/1/20,Occasions & Gifts,Desktop,970x250,Agency B,£0.66 ,2171,£0.30 
6/1/20,Law & Government,Tablets,300x250,Agency B,£0.67 ,2157,£0.31 
6/1/20,Real Estate,High-end mobile devices,Interstitial,Agency B,£8.42 ,2102,£4.01 
6/1/20,"Hobbies, Games & Leisure",Tablets,300x250,Agency B,£0.55 ,2078,£0.27 
6/1/20,Mobile Apps,Desktop,970x250,Agency B,£0.34 ,2056,£0.16 
6/1/20,Computers & Consumer Electronics,Desktop,970x250,Agency C,£1.74 ,2051,£0.85 
6/1/20,Business & Industrial,Desktop,300x250,Agency C,£0.84 ,1993,£0.42 
6/1/20,Arts & Entertainment,Tablets,Native,Agency B,£1.22 ,1981,£0.61 
6/1/20,Food & Groceries,Desktop,Video/Overlay,Agency B,£2.21 ,1943,£1.14 
6/1/20,Beauty & Personal Care,High-end mobile devices,320x50,Agency B,£0.76 ,1937,£0.39 
6/1/20,Apparel,Tablets,728x90,Agency B,£0.52 ,1927,£0.27 
6/1/20,Travel & Tourism,Desktop,300x250,Agency B,£0.68 ,1921,£0.35 
6/1/20,Sports & Fitness,High-end mobile devices,Interstitial,Agency B,£8.24 ,1915,£4.30 
6/1/20,Sports & Fitness,Desktop,300x250,Agency B,£0.86 ,1879,£0.46 
6/1/20,Jobs & Education,High-end mobile devices,Interstitial,Agency B,£6.32 ,1877,£3.37 
6/1/20,Finance,Desktop,320x50,Agency C,£0.58 ,1846,£0.32 
6/1/20,Home & Garden,Tablets,300x250,Agency B,£0.73 ,1830,£0.40 
6/1/20,Food & Groceries,High-end mobile devices,Interstitial,Agency B,£6.11 ,1819,£3.36 
6/1/20,Law & Government,High-end mobile devices,Native,Agency B,£1.60 ,1817,£0.88 
6/1/20,Arts & Entertainment,Desktop,970x250,Agency B,£1.27 ,1809,£0.70 
6/1/20,Health,High-end mobile devices,Interstitial,Agency B,£6.70 ,1805,£3.71 
6/1/20,Business & Industrial,Tablets,970x250,Agency B,£0.41 ,1804,£0.23 
6/1/20,"Hobbies, Games & Leisure",Tablets,Native,Agency B,£0.87 ,1802,£0.48 
6/1/20,Beauty & Personal Care,Desktop,970x250,Agency B,£1.30 ,1787,£0.73 
6/1/20,Occasions & Gifts,Desktop,300x600,Agency B,£0.39 ,1762,£0.22 
6/1/20,Computers & Consumer Electronics,High-end mobile devices,320x50,Agency B,£0.72 ,1744,£0.41 
6/1/20,Food & Groceries,High-end mobile devices,Video/Overlay,Agency B,£2.35 ,1718,£1.37 
6/1/20,Internet & Telecom,Tablets,Native,Agency B,£1.30 ,1713,£0.76 
6/1/20,Internet & Telecom,Desktop,300x250,Agency C,£1.28 ,1692,£0.76 
6/1/20,Internet & Telecom,High-end mobile devices,300x250,Agency C,£2.41 ,1690,£1.42 
6/1/20,Finance,Tablets,300x250,Agency C,£0.72 ,1686,£0.43 
6/1/20,Travel & Tourism,Desktop,Native,Agency B,£1.97 ,1683,£1.17 
6/1/20,Real Estate,Desktop,300x250,Agency B,£0.50 ,1671,£0.30 
6/1/20,Arts & Entertainment,High-end mobile devices,300x250,Agency C,£2.06 ,1654,£1.24 
6/1/20,Law & Government,High-end mobile devices,320x50,Agency B,£0.86 ,1640,£0.53 
6/1/20,"News, Books & Publications",High-end mobile devices,320x50,Agency B,£0.89 ,1620,£0.55 
6/1/20,Finance,Tablets,728x90,Agency B,£0.41 ,1618,£0.26 
6/1/20,Jobs & Education,Desktop,300x600,Agency B,£0.66 ,1611,£0.41 
6/1/20,Arts & Entertainment,High-end mobile devices,320x50,Agency B,£1.02 ,1589,£0.64 
6/1/20,"Hobbies, Games & Leisure",High-end mobile devices,300x250,Agency B,£0.83 ,1587,£0.52 
6/1/20,"Hobbies, Games & Leisure",Tablets,970x250,Agency B,£0.28 ,1585,£0.18 
6/1/20,Law & Government,Desktop,Native,Agency B,£1.41 ,1577,£0.90 
6/1/20,Sports & Fitness,Desktop,728x90,Agency B,£0.69 ,1569,£0.44 
6/1/20,Computers & Consumer Electronics,High-end mobile devices,300x600,Agency B,£1.38 ,1567,£0.88 
6/1/20,Computers & Consumer Electronics,High-end mobile devices,Native,Agency B,£1.44 ,1562,£0.92 
6/1/20,Sports & Fitness,High-end mobile devices,300x250,Agency B,£1.06 ,1558,£0.68 
6/1/20,Law & Government,Desktop,970x250,Agency B,£0.50 ,1553,£0.32 
6/1/20,"Hobbies, Games & Leisure",Tablets,728x90,Agency B,£0.22 ,1552,£0.14 
6/1/20,Internet & Telecom,High-end mobile devices,300x600,Agency E,£1.74 ,1535,£1.13 
6/1/20,Occasions & Gifts,Tablets,300x250,Agency B,£0.46 ,1525,£0.30 
6/1/20,Beauty & Personal Care,Desktop,300x250,Agency C,£1.52 ,1512,£1.01 
6/1/20,Jobs & Education,Tablets,728x90,Agency B,£0.20 ,1475,£0.14 
6/1/20,Apparel,Tablets,Native,Agency B,£1.42 ,1470,£0.97 
6/1/20,Sports & Fitness,Desktop,300x600,Agency B,£1.51 ,1462,£1.03 
6/1/20,Family & Community,Desktop,728x90,Agency C,£0.40 ,1454,£0.27 
6/1/20,Jobs & Education,High-end mobile devices,300x250,Agency B,£1.23 ,1434,£0.86 
6/1/20,Jobs & Education,High-end mobile devices,320x50,Agency B,£0.70 ,1434,£0.49 
6/1/20,Real Estate,High-end mobile devices,Native,Agency B,£1.41 ,1427,£0.99 
6/1/20,"News, Books & Publications",Desktop,Native,Agency B,£1.14 ,1418,£0.80 
6/1/20,"Hobbies, Games & Leisure",Desktop,300x250,Agency C,£0.99 ,1417,£0.70 
6/1/20,Business & Industrial,Desktop,Video/Overlay,Agency B,£2.08 ,1415,£1.47 
6/1/20,Jobs & Education,High-end mobile devices,Native,Agency B,£1.24 ,1407,£0.88 
6/1/20,Home & Garden,Tablets,Native,Agency B,£0.97 ,1383,£0.70 
6/1/20,Mobile Apps,High-end mobile devices,Interstitial,Agency B,£4.53 ,1370,£3.31 
6/1/20,"Hobbies, Games & Leisure",High-end mobile devices,Video/Overlay,Agency C,£10.94 ,1368,£7.99 
6/1/20,Arts & Entertainment,Desktop,970x250,Agency C,£1.36 ,1344,£1.02 
6/1/20,Occasions & Gifts,Desktop,728x90,Agency B,£0.35 ,1343,£0.26 
6/1/20,Internet & Telecom,High-end mobile devices,300x600,Agency B,£0.97 ,1329,£0.73 
6/1/20,Arts & Entertainment,Desktop,300x600,Agency C,£1.24 ,1328,£0.93 
6/1/20,Beauty & Personal Care,High-end mobile devices,320x50,Agency C,£1.03 ,1319,£0.78 
6/1/20,Autos & Vehicles,Tablets,300x600,Agency B,£1.43 ,1315,£1.09 
6/1/20,Beauty & Personal Care,High-end mobile devices,300x250,Agency B,£1.32 ,1288,£1.03 
6/1/20,"Hobbies, Games & Leisure",Desktop,728x90,Agency C,£0.96 ,1278,£0.75 
6/1/20,Finance,Tablets,970x250,Agency B,£0.46 ,1277,£0.36 
6/1/20,Sports & Fitness,Desktop,970x250,Agency B,£0.78 ,1270,£0.62 
6/1/20,Computers & Consumer Electronics,High-end mobile devices,Interstitial,Agency C,£4.04 ,1264,£3.19 
6/1/20,Finance,Desktop,Video/Overlay,Agency C,£9.88 ,1235,£8.00 
6/1/20,Health,High-end mobile devices,320x50,Agency C,£1.38 ,1228,£1.12 
6/1/20,Law & Government,Desktop,300x600,Agency B,£0.49 ,1216,£0.40 
6/1/20,Finance,Desktop,300x600,Agency C,£1.26 ,1207,£1.04 
6/1/20,Internet & Telecom,High-end mobile devices,300x250,Agency E,£1.43 ,1188,£1.20 
6/1/20,Arts & Entertainment,Tablets,300x250,Agency B,£0.23 ,1187,£0.20 
6/1/20,Beauty & Personal Care,High-end mobile devices,Interstitial,Agency B,£4.50 ,1175,£3.83 
6/1/20,Business & Industrial,Tablets,300x600,Agency B,£0.43 ,1172,£0.37 
6/1/20,Sports & Fitness,High-end mobile devices,300x600,Agency B,£1.35 ,1171,£1.15 
6/1/20,Beauty & Personal Care,Tablets,300x250,Agency B,£0.38 ,1170,£0.32 
6/1/20,Occasions & Gifts,Tablets,Native,Agency B,£1.19 ,1167,£1.02 
6/1/20,Beauty & Personal Care,Desktop,300x600,Agency B,£0.94 ,1166,£0.80 
6/1/20,Law & Government,Tablets,728x90,Agency B,£0.21 ,1159,£0.18 
6/1/20,Internet & Telecom,Desktop,728x90,Agency C,£1.06 ,1151,£0.92 
6/1/20,Health,High-end mobile devices,300x600,Agency B,£0.63 ,1148,£0.55 
6/1/20,Sports & Fitness,Tablets,300x250,Agency B,£0.33 ,1143,£0.29 
6/1/20,Occasions & Gifts,High-end mobile devices,300x250,Agency B,£0.58 ,1135,£0.51 
6/1/20,Jobs & Education,Tablets,300x250,Agency B,£0.40 ,1092,£0.37 
6/1/20,Home & Garden,High-end mobile devices,300x250,Agency C,£1.55 ,1085,£1.42 
6/1/20,Sports & Fitness,High-end mobile devices,320x50,Agency B,£0.54 ,1084,£0.50 
6/1/20,Sports & Fitness,Tablets,Native,Agency B,£0.71 ,1060,£0.67 
6/1/20,"News, Books & Publications",High-end mobile devices,Native,Agency B,£0.89 ,1048,£0.85 
6/1/20,Home & Garden,Tablets,970x250,Agency B,£0.31 ,1047,£0.29 
6/1/20,Food & Groceries,High-end mobile devices,320x50,Agency B,£0.31 ,1038,£0.30 
6/1/20,Food & Groceries,High-end mobile devices,300x250,Agency B,£0.71 ,1030,£0.69 
6/1/20,"News, Books & Publications",Desktop,970x250,Agency B,£0.43 ,1029,£0.42 
6/1/20,Travel & Tourism,High-end mobile devices,Native,Agency B,£1.20 ,1011,£1.19 
6/1/20,Arts & Entertainment,Tablets,Interstitial,Agency B,£4.09 ,1010,£4.05 
6/1/20,Finance,Desktop,Native,Agency C,£1.22 ,1008,£1.21 
6/1/20,Real Estate,Desktop,970x250,Agency B,£0.41 ,995,£0.42 
6/1/20,Computers & Consumer Electronics,Tablets,300x250,Agency B,£0.38 ,980,£0.39 
6/1/20,Finance,Tablets,300x600,Agency B,£0.82 ,978,£0.84 
6/1/20,Health,Desktop,300x250,Agency C,£0.93 ,977,£0.95 
6/1/20,Home & Garden,High-end mobile devices,300x600,Agency B,£0.65 ,973,£0.67 
6/1/20,Computers & Consumer Electronics,Tablets,728x90,Agency B,£0.21 ,954,£0.22 
6/1/20,Dining & Nightlife,Desktop,300x250,Agency B,£0.09 ,954,£0.09 
6/1/20,Travel & Tourism,Desktop,300x600,Agency B,£0.77 ,919,£0.84 
6/1/20,Family & Community,Tablets,300x250,Agency B,£0.39 ,913,£0.42 
6/1/20,Mobile Apps,Desktop,300x250,Agency B,£0.12 ,912,£0.13 
6/1/20,Travel & Tourism,Desktop,970x250,Agency B,£0.47 ,908,£0.51 
6/1/20,Arts & Entertainment,Desktop,300x600,Agency B,£0.43 ,908,£0.47 
6/1/20,Health,Tablets,Native,Agency B,£0.46 ,903,£0.51 
6/1/20,Business & Industrial,High-end mobile devices,300x250,Agency C,£0.55 ,895,£0.62 
6/1/20,Arts & Entertainment,Tablets,728x90,Agency B,£0.23 ,895,£0.26 
6/1/20,Computers & Consumer Electronics,High-end mobile devices,320x50,Agency C,£0.49 ,894,£0.55 
6/1/20,Family & Community,Tablets,728x90,Agency B,£0.22 ,894,£0.24 
6/1/20,Finance,Desktop,970x250,Agency C,£0.88 ,892,£0.98 
6/1/20,Health,High-end mobile devices,300x250,Agency C,£1.36 ,890,£1.53 
6/1/20,Arts & Entertainment,High-end mobile devices,300x250,Agency B,£0.72 ,890,£0.81 
6/1/20,Finance,Tablets,728x90,Agency C,£0.35 ,869,£0.40 
6/1/20,"Hobbies, Games & Leisure",High-end mobile devices,320x50,Agency C,£0.40 ,864,£0.46 
6/1/20,Real Estate,High-end mobile devices,300x250,Agency B,£0.61 ,861,£0.71 
6/1/20,Home & Garden,High-end mobile devices,320x50,Agency C,£1.23 ,853,£1.45 
6/1/20,Health,Desktop,320x50,Agency B,£0.16 ,839,£0.19 
6/1/20,Health,Desktop,Video/Overlay,Agency B,£1.16 ,820,£1.41 
6/1/20,Finance,Tablets,320x50,Agency C,£0.43 ,801,£0.53 
6/1/20,"Hobbies, Games & Leisure",Desktop,320x50,Agency B,£0.09 ,799,£0.11 
6/1/20,"Hobbies, Games & Leisure",High-end mobile devices,300x600,Agency B,£0.45 ,791,£0.57 
6/1/20,Finance,Tablets,Native,Agency B,£0.55 ,790,£0.70 
6/1/20,Real Estate,High-end mobile devices,320x50,Agency B,£0.35 ,788,£0.45 
6/1/20,Home & Garden,Desktop,728x90,Agency C,£0.41 ,781,£0.53 
6/1/20,Home & Garden,Desktop,300x250,Agency C,£0.78 ,778,£1.01 
6/1/20,Beauty & Personal Care,Tablets,728x90,Agency B,£0.19 ,778,£0.25 
6/1/20,"News, Books & Publications",Tablets,300x250,Agency B,£0.21 ,764,£0.27 
6/1/20,Computers & Consumer Electronics,Tablets,Native,Agency B,£0.49 ,760,£0.65 
6/1/20,Family & Community,Tablets,Native,Agency B,£0.52 ,746,£0.69 
6/1/20,Family & Community,Desktop,300x250,Agency C,£0.31 ,746,£0.42 
6/1/20,Real Estate,Tablets,728x90,Agency B,£0.09 ,740,£0.12 
6/1/20,Apparel,Desktop,Video/Overlay,Agency B,£1.53 ,737,£2.08 
6/1/20,"News, Books & Publications",Tablets,728x90,Agency B,£0.21 ,731,£0.29 
6/1/20,Occasions & Gifts,High-end mobile devices,Interstitial,Agency B,£2.41 ,724,£3.32 
6/1/20,Business & Industrial,High-end mobile devices,Video/Overlay,Agency B,£1.53 ,721,£2.12 
6/1/20,Travel & Tourism,High-end mobile devices,Interstitial,Agency B,£3.49 ,715,£4.88 
6/1/20,Health,Tablets,970x250,Agency B,£0.29 ,704,£0.40 
6/1/20,Food & Groceries,Desktop,970x250,Agency B,£0.34 ,703,£0.48 
